Crank Radius,Link Length,Offset,Max Force,Max Torque,Max Velocity,Max Acceleration,Peak Power,Min Link Height,Min Link Width,Min Crank Height,Min Crank Width,Min Pin Diameter,Return Ratio,System Area,Stroke,System Weight,System Volume,Optimization Score
0.1125000000,0.1580000000,0.0420000000,19.9668231825,0.2067838313,0.3854714892,5.1803848126,0.6496305652,0.0030920000,0.0015460000,0.0024060000,0.0012030000,0.0006872500,1.9616903884,0.0854368828,0.2497194791,0.0029184264,0.0003376466,0.8769007025
0.1120000000,0.1635000000,0.0470000000,15.3807683903,0.2040881509,0.3771183876,4.6089735610,0.6411618355,0.0029480000,0.0014740000,0.0024000000,0.0012000000,0.0006685000,1.9043386489,0.0858953364,0.2504078199,0.0027891676,0.0003327585,0.8767967202
0.1115000000,0.1620000000,0.0465000000,20.0452345044,0.2031722358,0.3758907398,4.8544261855,0.6382844034,0.0031340000,0.0015670000,0.0023800000,0.0011900000,0.0006892500,1.9328684158,0.0849670337,0.2498203728,0.0030006956,0.0003353649,0.8767205248
0.1120000000,0.1640000000,0.0470000000,13.5407410050,0.2040525178,0.3769751944,4.3694835290,0.6410498909,0.0028600000,0.0014300000,0.0024020000,0.0012010000,0.0006577500,1.8768619815,0.0860089996,0.2497201527,0.0026833276,0.0003295865,0.8767167739
0.1135000000,0.1545000000,0.0380000000,19.9909884571,0.2107711790,0.3955235383,5.5928473242,0.6621571876,0.0030600000,0.0015300000,0.0024340000,0.0012170000,0.0006867500,1.9948670504,0.0859858502,0.2498974873,0.0028607723,0.0003408479,0.8765252796
0.1125000000,0.1565000000,0.0410000000,24.2192130297,0.2072296151,0.3870382237,5.5804745546,0.6510310364,0.0032300000,0.0016150000,0.0024060000,0.0012030000,0.0007119000,1.9988266965,0.0851303485,0.2498883851,0.0030833904,0.0003423091,0.8765214717
0.1110000000,0.1595000000,0.0455000000,31.0232648820,0.2024211795,0.3754241805,5.5602417988,0.6359248905,0.0034680000,0.0017340000,0.0023740000,0.0011870000,0.0008048000,2.0014665199,0.0838373748,0.2498529769,0.0034342550,0.0003444039,0.8764836147
0.1115000000,0.1600000000,0.0450000000,23.9619771280,0.2036162235,0.3777872593,5.1678925709,0.6396792321,0.0032580000,0.0016290000,0.0023800000,0.0011900000,0.0007081000,1.9644085645,0.0845715788,0.2496546953,0.0031453796,0.0003390475,0.8764527398
0.1125000000,0.1595000000,0.0430000000,17.0496710640,0.2063957231,0.3839570266,4.8585201789,0.6484112874,0.0029860000,0.0014930000,0.0024080000,0.0012040000,0.0006742500,1.9290838491,0.0857429094,0.2496059312,0.0028005216,0.0003344831,0.8764366960
0.1125000000,0.1585000000,0.0425000000,20.0930961202,0.2066108491,0.3848030973,5.1888549773,0.6490871257,0.0031020000,0.0015510000,0.0024060000,0.0012030000,0.0006885000,1.9625306825,0.0855330050,0.2500469728,0.0029381334,0.0003384541,0.8763951484
0.1100000000,0.1630000000,0.0495000000,30.2267555454,0.1993101535,0.3671774728,5.1476293468,0.6261513142,0.0034840000,0.0017420000,0.0023480000,0.0011740000,0.0007945000,1.9657591832,0.0832644690,0.2495341622,0.0034897192,0.0003405517,0.8763268902
0.1120000000,0.1645000000,0.0475000000,13.6050445473,0.2039266152,0.3764462100,4.3764551387,0.6406543563,0.0028660000,0.0014330000,0.0024020000,0.0012010000,0.0006585000,1.8776819986,0.0861032317,0.2500287473,0.0026964784,0.0003302059,0.8763260182
0.1130000000,0.1600000000,0.0425000000,13.3456101639,0.2076176048,0.3863894036,4.5978930290,0.6522499421,0.0028140000,0.0014070000,0.0024240000,0.0012120000,0.0006547500,1.8977824837,0.0864837724,0.2496029273,0.0026067664,0.0003313193,0.8762365703
