Crank Radius,Link Length,Offset,Theta Angle,Phi Angle,Link Normal Stress,Xs,Vs,As
,,,,,,,,
123.000,129.500,6.000,15.000,16.502,0.205,248.163,-1279.101,516.613
123.000,129.500,6.000,30.000,28.531,0.223,235.760,-1272.862,511.510
123.000,129.500,6.000,45.000,37.691,0.248,216.115,-1223.997,471.548
123.000,129.500,6.000,60.000,43.752,0.272,190.565,-1135.836,399.449
123.000,129.500,6.000,75.000,47.060,0.288,160.852,-1014.388,300.128
123.000,129.500,6.000,90.000,48.093,0.294,129.001,-867.929,180.355
123.000,129.500,6.000,105.000,47.060,0.288,97.182,-706.441,48.292
123.000,129.500,6.000,120.000,43.752,0.272,67.565,-540.928,-87.061
123.000,129.500,6.000,135.000,37.691,0.248,42.166,-382.671,-216.479
123.000,129.500,6.000,150.000,28.531,0.223,22.718,-242.453,-331.143
123.000,129.500,6.000,165.000,16.502,0.205,10.545,-129.831,-423.241
123.000,129.500,6.000,180.000,2.654,0.196,6.477,-52.479,-486.495
123.000,129.500,6.000,195.000,-11.355,0.200,10.791,-15.668,-516.597
123.000,129.500,6.000,210.000,-23.811,0.214,23.193,-21.907,-511.496
123.000,129.500,6.000,225.000,-33.537,0.235,42.838,-70.770,-471.538
123.000,129.500,6.000,240.000,-40.141,0.257,68.388,-158.929,-399.447
123.000,129.500,6.000,255.000,-43.834,0.272,98.100,-280.374,-300.134
123.000,129.500,6.000,270.000,-45.005,0.277,129.951,-426.831,-180.367
123.000,129.500,6.000,285.000,-43.834,0.272,161.770,-588.318,-48.307
123.000,129.500,6.000,300.000,-40.141,0.257,191.388,-753.831,87.047
123.000,129.500,6.000,315.000,-33.537,0.235,216.786,-912.090,216.469
123.000,129.500,6.000,330.000,-23.811,0.214,236.235,-1052.310,331.141
123.000,129.500,6.000,345.000,-11.355,0.200,248.409,-1164.935,423.246
123.000,129.500,6.000,360.000,2.654,0.196,252.477,-1242.289,486.507
,,,,,,,,
124.000,130.000,4.500,15.000,15.916,0.204,249.634,-1286.765,520.812
124.000,130.000,4.500,30.000,28.047,0.222,237.131,-1280.478,515.670
124.000,130.000,4.500,45.000,37.308,0.247,217.326,-1231.218,475.385
124.000,130.000,4.500,60.000,43.446,0.270,191.569,-1142.343,402.701
124.000,130.000,4.500,75.000,46.803,0.287,161.615,-1019.909,302.575
124.000,130.000,4.500,90.000,47.852,0.292,129.505,-872.261,181.828
124.000,130.000,4.500,105.000,46.803,0.287,97.428,-709.460,48.692
124.000,130.000,4.500,120.000,43.446,0.270,67.569,-542.602,-87.761
